Task Id,Task Name,Team Leaders,Lead GP/Global Themes,Region,Country,Approval FY,Product Line,Lending Project Status,Sectors (Level 1),Sectors (Level 2),Themes (Level 1),Themes (Level 2),Themes (Level 3)
P178280,Emergency Food Security Project,Azeb Mekonnen (ADM);Amanullah Alamzai,Agriculture and Food,SAR,Afghanistan,2022,RE,Actual,&&Agriculture (100%),"&&Crops (54%)
&&Irrigation & drainag (32%)
&&PA Agri,Fish&Forest (14%)","&&FY17 - Private Sector Development
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Jobs (46%)
&&FY17 - Gender (100%)
&&FY17 - Nutrition and Food Security (68%)
&&FY17 - Rural Development (100%)
&&FY17 - Disaster Risk Management (46%)
&&FY17 - Climate change (100%)
&&FY17 - Renewable Natural Resources Asset Management (46%)","&&FY17 - Job Creation (46%)
&&FY17 - Nutrition (68%)
&&FY17 - Food Security (68%)
&&FY17 - Rural Markets (68%)
&&FY17 - Rural Infrastructure and service delivery (46%)
&&FY17 - Flood and Drought Risk Management (46%)
&&FY17 - Adaptation (100%)
&&FY17 - Watershed Management (46%)"
P178758,Education Emergency Response (EERA),Elena Roseo (ADM),Education,SAR,Afghanistan,2023,RE,Actual,&&Education (100%),"&&Public Adm Education (16%)
&&Primary Education (53%)
&&Secondary Education (31%)","&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - Gender (66%)
&&FY17 - Education (100%)
&&FY17 - Labor Market Policy and Programs (21%)
&&FY17 - Climate change (43%)","&&FY17 - Access to Education (71%)
&&FY17 - Teachers (72%)
&&FY17 - Education Governance, School-Based Management (100%)
&&FY17 - Standards, Curriculum and Textbooks (72%)
&&FY17 - Education Facilities (39%)
&&FY17 - Private Sector Delivery of Education (48%)
&&FY17 - Skills Development (21%)
&&FY17 - Mitigation (22%)
&&FY17 - Adaptation (22%)"
P178760,Community Resilience and Livelihoods,Robert Wrobel (ADM);Amena Raja,Social Sustainability and Inclusion,SAR,Afghanistan,2022,RE,Actual,&&Public Admin (100%),&&Other Public Adminis (100%),"&&FY17 - Social Development and Protection
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Social Inclusion (80%)
&&FY17 - Fragility, Conflict and Violence (40%)
&&FY17 - Urban Development (40%)
&&FY17 - Rural Development (58%)
&&FY17 - Disaster Risk Management (40%)
&&FY17 - Climate change (58%)","&&FY17 - Indigenous People and Ethnic Minorities (30%)
&&FY17 - Participation and Civic Engagement (40%)
&&FY17 - Forced Displacement (40%)
&&FY17 - Urban Infrastructure and Service Delivery (10%)
&&FY17 - Rural Infrastructure and service delivery (40%)
&&FY17 - Flood and Drought Risk Management (40%)
&&FY17 - Adaptation (58%)"
P178775,Afghanistan Health Emergency Response,Marion Cros (ADM);Maria Ceretti,"Health, Nutrition & Population",SAR,Afghanistan,2022,RE,Actual,&&Health (100%),"&&PA Health (13%)
&&Health (85%)
&&Health Facilit&Cons (2%)","&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Gender (94%)
&&FY17 - Disease Control (19%)
&&FY17 - Health Systems and Policies (100%)
&&FY17 - Nutrition and Food Security (15%)
&&FY17 - Disaster Risk Management (17%)
&&FY17 - Climate change (17%)","&&FY17 - Pandemic Response (19%)
&&FY17 - Health System Strengthening (15%)
&&FY17 - Health Service Delivery (98%)
&&FY17 - Health Finance (94%)
&&FY17 - Nutrition (15%)
&&FY17 - Disaster Response and Recovery (17%)
&&FY17 - Adaptation (17%)"
P178933,Afghanistan NGO/CSO Capacity Support,Olivier Lavinal (ADM),Social Sustainability and Inclusion,SAR,Afghanistan,2022,RE,Actual,&&Social Protection (100%),"&&Social Protection (50%)
&&PA Social Proctectn (50%)","&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Data Development and Capacity Building (40%)
&&FY17 - Social Inclusion (100%)
&&FY17 - Social Protection (70%)
&&FY17 - Fragility, Conflict and Violence (70%)
&&FY17 - Gender (100%)
&&FY17 - Disaster Risk Management (40%)
&&FY17 - Climate change (40%)","&&FY17 - Data production, accessibility and use (40%)
&&FY17 - Indigenous People and Ethnic Minorities (70%)
&&FY17 - Participation and Civic Engagement (100%)
&&FY17 - Social Safety Nets (70%)
&&FY17 - Post-conflict reconstruction (70%)
&&FY17 - Flood and Drought Risk Management (40%)
&&FY17 - Mitigation (20%)
&&FY17 - Adaptation (20%)"
P179311,WERP,Zhimin Mao (ADM);Abdul Quraishi,Water,SAR,Afghanistan,2023,RE,Actual,"&&Agriculture (35%)
&&Water/Sanit/Waste (65%)","&&Irrigation & drainag (35%)
&&Sanitation (26%)
&&Water Supply (26%)
&&PA Water, Sanitation (10%)
&&Oth Water, Sani&Wast (3%)","&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Social Inclusion (48%)
&&FY17 - Gender (65%)
&&FY17 - Rural Development (100%)
&&FY17 - Disaster Risk Management (96%)
&&FY17 - Renewable Natural Resources Asset Management (97%)
&&FY17 - Water Resource Management (13%)
&&FY17 - Energy (45%)","&&FY17 - Participation and Civic Engagement (48%)
&&FY17 - Rural Infrastructure and service delivery (97%)
&&FY17 - Rural Water and Sanitation (100%)
&&FY17 - Flood and Drought Risk Management (96%)
&&FY17 - Watershed Management (97%)
&&FY17 - Water Institutions, Policies and Reform (13%)
&&FY17 - Access to Energy (45%)"
P504220,EMERGe,Namoos Zaheer (ADM);Kiran Afzal,"Finance, Competitiveness and Innovation",SAR,Afghanistan,2024,RE,Actual,&&Financial Sector (100%),"&&Banking Institutions (32%)
&&Capital Markets (55%)
&&PA Financial Sector (13%)","&&FY17 - Environment and Natural Resource Management
&&FY17 - Human Development and Gender
&&FY17 - Private Sector Development
&&FY17 - Finance","&&FY17 - Gender (34%)
&&FY17 - Enterprise Development (38%)
&&FY17 - Financial Infrastructure and Access (100%)
&&FY17 - Jobs (15%)
&&FY17 - Climate change (15%)","&&FY17 - Mitigation (15%)
&&FY17 - MSME Development (38%)
&&FY17 - Financial inclusion (19%)
&&FY17 - Job Creation (15%)
&&FY17 - Credit Infrastructure (91%)
&&FY17 - Entrepreneurship (15%)
&&FY17 - MSME Finance (100%)"
P160594,Albania Gender Equality DPF,Ana Oviedo Silva (ADM),Poverty and Equity,ECA,Albania,2020,PE,Actual,"&&Public Admin (76%)
&&Education (12%)
&&Social Protection (12%)","&&Central Government (13%)
&&Other Public Adminis (63%)
&&Early Childhood Educ (6%)
&&Primary Education (6%)
&&Social Protection (12%)","&&FY17 - Public Sector Management
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development","&&FY17 - Public Finance Management (13%)
&&FY17 - Gender (100%)
&&FY17 - Education (13%)
&&FY17 - Labor Market Policy and Programs (38%)
&&FY17 - Rural Development (38%)","&&FY17 - Public Expenditure Management (13%)
&&FY17 - Access to Education (13%)
&&FY17 - Education Governance, School-Based Management (13%)
&&FY17 - Active Labor Market Programs (38%)
&&FY17 - Land Administration and Management (38%)"
P169524,Albania Fiscal Sustainability and Growth,Hilda Shijaku (ADM);Christos Kostopoulos,"Macroeconomics, Trade and Investment",ECA,Albania,2021,PE,Actual,"&&Agriculture (11%)
&&Public Admin (34%)
&&Info & Communication (11%)
&&Financial Sector (44%)","&&Forestry (11%)
&&Central Government (34%)
&&ICT Infrastructure (11%)
&&Banking Institutions (22%)
&&Capital Markets (22%)","&&FY17 - Private Sector Development
&&FY17 - Finance
&&FY17 - Public Sector Management
&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - Jobs (11%)
&&FY17 - Public Private Partnerships (11%)
&&FY17 - ICT (11%)
&&FY17 - Financial Stability (11%)
&&FY17 - Financial Infrastructure and Access (11%)
&&FY17 - Finance for Development (22%)
&&FY17 - Public Finance Management (22%)
&&FY17 - Disease Control (100%)
&&FY17 - Climate change (11%)","&&FY17 - Job Creation (11%)
&&FY17 - ICT Solutions (11%)
&&FY17 - Financial Sector oversight and policy/banking regulation & restructuring (11%)
&&FY17 - Financial inclusion (11%)
&&FY17 - Infrastructure Finance (22%)
&&FY17 - Domestic Revenue Administration (22%)
&&FY17 - Pandemic Response (100%)
&&FY17 - Mitigation (11%)"
P170891,Albania WSS Sector Modernization Program,Camilo Lombana Cordoba (ADM);Sven Schlumpberger,Water,ECA,Albania,2022,PE,Actual,&&Water/Sanit/Waste (100%),"&&Sanitation (22%)
&&Water Supply (65%)
&&PA Water, Sanitation (13%)","&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Urban Development (67%)
&&FY17 - Rural Development (67%)
&&FY17 - Disaster Risk Management (27%)
&&FY17 - Climate change (52%)
&&FY17 - Water Resource Management (60%)","&&FY17 - Urban Water and Sanitation (67%)
&&FY17 - Rural Water and Sanitation (67%)
&&FY17 - Flood and Drought Risk Management (27%)
&&FY17 - Mitigation (23%)
&&FY17 - Adaptation (30%)
&&FY17 - Water Institutions, Policies and Reform (60%)"
P171066,SECO Albania TF for AFSA II,Alper Oguz (ADM);Keler Gjika,"Finance, Competitiveness and Innovation",ECA,Albania,2020,RE,Actual,&&Financial Sector (100%),"&&Capital Markets (72%)
&&PA Financial Sector (28%)","&&FY17 - Finance
&&FY17 - Human Development and Gender","&&FY17 - Financial Stability (100%)
&&FY17 - Finance for Development (78%)
&&FY17 - Labor Market Policy and Programs (70%)","&&FY17 - Financial Sector oversight and policy/banking regulation & restructuring (100%)
&&FY17 - Infrastructure Finance (78%)
&&FY17 - Active Labor Market Programs (70%)"
P174101,Albania Emergency COVID-19 Project,Lorena Kostallari (ADM),"Health, Nutrition & Population",ECA,Albania,2021,PE,Actual,&&Health (100%),"&&PA Health (9%)
&&Health (46%)
&&Health Facilit&Cons (45%)","&&FY17 - Private Sector Development
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender","&&FY17 - ICT (100%)
&&FY17 - Social Inclusion (100%)
&&FY17 - Gender (9%)
&&FY17 - Disease Control (100%)
&&FY17 - Health Systems and Policies (100%)","&&FY17 - ICT Solutions (9%)
&&FY17 - Participation and Civic Engagement (9%)
&&FY17 - Pandemic Response (100%)
&&FY17 - Health System Strengthening (49%)
&&FY17 - Health Service Delivery (18%)
&&FY17 - Health Finance (18%)"
P174595,Albania Bridge Rehabilitation,Jan Nora (ADM),Transport,ECA,Albania,2023,PE,Actual,&&Transportation (100%),"&&PA Transportation (7%)
&&Rural and Inter-Urba (93%)","&&FY17 - Private Sector Development
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - ICT (20%)
&&FY17 - Gender (20%)
&&FY17 - Labor Market Policy and Programs (20%)
&&FY17 - Urban Development (87%)
&&FY17 - Road Safety (100%)
&&FY17 - Disaster Risk Management (100%)
&&FY17 - Climate change (89%)","&&FY17 - ICT Solutions (20%)
&&FY17 - Labor Market Institutions (20%)
&&FY17 - Public Transport (87%)
&&FY17 - Disaster Response and Recovery (87%)
&&FY17 - Disaster Risk Reduction (20%)
&&FY17 - Disaster Preparedness (87%)
&&FY17 - Flood and Drought Risk Management (100%)
&&FY17 - Mitigation (16%)
&&FY17 - Adaptation (73%)"
P176084,Albania SQARP,Andrei Busuioc (ADM),Governance,ECA,Albania,2021,RE,Actual,&&Public Admin (100%),"&&Law and Justice (24%)
&&Other Public Adminis (76%)","&&FY17 - Private Sector Development
&&FY17 - Finance
&&FY17 - Public Sector Management
&&FY17 - Human Development and Gender","&&FY17 - ICT (42%)
&&FY17 - Financial Stability (42%)
&&FY17 - Rule of Law (39%)
&&FY17 - Public Administration (76%)
&&FY17 - Data Development and Capacity Building (48%)
&&FY17 - Gender (48%)","&&FY17 - ICT Solutions (42%)
&&FY17 - Financial Sector oversight and policy/banking regulation & restructuring (42%)
&&FY17 - Judicial and other Dispute Resolution Mechanisms (39%)
&&FY17 - Transparency, Accountability and Good Governance (76%)
&&FY17 - E-Government, incl. e-services (42%)
&&FY17 - Civil Registration and Identification (42%)
&&FY17 - Data production, accessibility and use (48%)"
P176163,CARE4BlueSea,Maja Murisic (ADM);Marcus Lee;Camilo Lombana Cordoba,"Environment, Natural Resources & the Blue Economy",ECA,Albania,2024,PE,Actual,"&&Agriculture (4%)
&&Water/Sanit/Waste (96%)","&&Irrigation & drainag (4%)
&&Sanitation (74%)
&&Waste Management (17%)
&&PA Water, Sanitation (5%)","&&FY17 - Environment and Natural Resource Management
&&FY17 - Public Sector Management
&&FY17 - Urban and Rural Development","&&FY17 - Climate change (17%)
&&FY17 - Environmental Health and Pollution Management (79%)
&&FY17 - Environmental policies and institutions (19%)
&&FY17 - Disaster Risk Management (4%)
&&FY17 - Renewable Natural Resources Asset Management (22%)
&&FY17 - Public Administration (10%)
&&FY17 - Urban Development (96%)
&&FY17 - Rural Development (9%)","&&FY17 - Municipal Finance (18%)
&&FY17 - Water Pollution (79%)
&&FY17 - Watershed Management (9%)
&&FY17 - Rural Infrastructure and service delivery (9%)
&&FY17 - Flood and Drought Risk Management (4%)
&&FY17 - Landscape Management (9%)
&&FY17 - Urban Water and Sanitation (82%)
&&FY17 - Mitigation (3%)
&&FY17 - Adaptation (14%)
&&FY17 - Urban Infrastructure and Service Delivery (96%)
&&FY17 - Municipal Institution Building (10%)"
P177130,EI Transparency Initiative Mainstreaming,Nina Inamahoro (ADM),Energy & Extractives,ECA,Albania,2023,RE,Actual,&&Energy & Extractives (100%),&&PA Energy&Extratives (100%),"&&FY17 - Economic Policy
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - Fiscal Policy (100%)
&&FY17 - Social Inclusion (39%)
&&FY17 - Gender (69%)
&&FY17 - Climate change (43%)","&&FY17 - Participation and Civic Engagement (39%)
&&FY17 - Adaptation (43%)"
P177845,Albania Govtech,Simon O'Meally (ADM);Nalin Jena;Charles Hurpy;Sandrine Egoue Ngasseu;Emoke Sobjak,Governance,ECA,Albania,2023,PE,Actual,"&&Public Admin (53%)
&&Info & Communication (24%)
&&Education (23%)","&&Central Government (28%)
&&Other Public Adminis (25%)
&&ICT Infrastructure (7%)
&&ICT Services (17%)
&&Other Education (23%)","&&FY17 - Private Sector Development
&&FY17 - Public Sector Management
&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - ICT (67%)
&&FY17 - Public Administration (63%)
&&FY17 - Data Development and Capacity Building (13%)
&&FY17 - Gender (10%)
&&FY17 - Education (23%)
&&FY17 - Labor Market Policy and Programs (23%)
&&FY17 - Climate change (12%)","&&FY17 - ICT Solutions (42%)
&&FY17 - ICT Policies (32%)
&&FY17 - Transparency, Accountability and Good Governance (10%)
&&FY17 - E-Government, incl. e-services (63%)
&&FY17 - Data production, accessibility and use (13%)
&&FY17 - Access to Education (23%)
&&FY17 - Education Governance, School-Based Management (23%)
&&FY17 - Standards, Curriculum and Textbooks (23%)
&&FY17 - Skills Development (23%)
&&FY17 - Mitigation (11%)
&&FY17 - Adaptation (1%)"
