Project_Id2,Project_Legal_Name2,Project__2,Region_Code2,Country_Name2,Practice_Group_Code2,Responsible_VPU2,Responsible_Department2,Global_Practice_Name2,Contributing_GP_Global_Themes2,Staff_Full_Name2,Team_Leaders2,Requesting_Unit2,Responsible_Unit2,FY_Number2,Fiscal_Quarter_Name2,Project_Probability_Code_,Approval_Authority_Flag2,Board_Schedule_Status2,Project_Decision_Meeting_Type_Name_,Project_Full_Board_Discussion_Flag_,Product_Line_Code2,Lendng_Instrument_Instrument_Type_Name_,P4R_With_IPF_Indicator2,Processing_Track_Indicator2,MPA2,Additional_Financing_Flag2,FCC_Indicator2,Emergency_Flag2,Emergency_Response2,Parent_Project_Id2,Environment_Assessment_Code2,Frame_Work2,ESRC__from_ESMS_2,Environmental_Risk_Name2,Project_Environment_Social_Risk_Name_,Project_Overall_Risk_,Project_Volcker_Trigger_Indicator_,Project_Last_Stage_Reached_,Total_Commitment1,IBRD_Total_Commitment1,IDA_Total_Commitment1,Others_Total_Commitment1,PE_Cofinance1,AIS_Sign_Off_Date2,Concept_Review_Date2,Concept_Review_Status2,Disclosure_Of_Concept_PID_Date2,Concept_ESRS_Date2,Quality_Enhancement_Review_Date2,Project_Milestone_Decision_Review_Date_,Decision_Review_Status2,Disclosure_Of_Appraisal_PID_Date2,Appraisal_ESRS_Date2,Begin_Appraisal_Date2,Begin_Appraisal_Status2,Authorize_Negotiations_Date2,Authorize_Negotiations_Status2,SECPO_Date2,SECPO_Status2,Project_Milestone_Approval_Date_,Approval_Status2,FY_Exp__BB___TF1,Cum__Exp__BB___TF1,DDO2,CATASTROPHE_DDO_FLAG2,IPF_Fragile_State_Indicator2,IPF_Fragile_With_Non_Fragile_Country_Indicator2,FCC_Small_States_Indicator2,FCC_Post_Conflict_Indicator2,FCC_Disaster_Indicator2,Financial_Intermediaries2,Performance_Based_Conditions2,Contingent_Emergency_Response_Component2,Alternative_Procurement_Arrangement2,Series_of_Projects__SOP_2,Textbox171,Textbox7,Textbox81,Textbox83,Textbox85,Textbox87,Textbox89,Textbox127,Textbox129
P181080,Colombia Green and Resilient DPO 2,1,LCR,Colombia,GGIVP,LCRVP,ILCDR,Energy & Extractives,"Environment, Natural Resources & the Blue Economy","Elizondo Azuela, Gabriela",Manuel Luengo (ADM);Dean Cira,LCC1C,ILCE1,2024,Q3,A,BOA,Board Approved,Regional Operations,,PE,DPF,N/A,N/A,N,N,N,N,,P180033,,N/A,,,,M,,Bank Approved,$750.00M,$750.00M,$0.00M,$0.00M,$0.00M,04-Apr-2023,14-Nov-2023,A,17-Nov-2023,,,15-Feb-2024,A,21-Feb-2024,21-Feb-2024,,,21-Feb-2024,A,29-Feb-2024,A,28-Mar-2024,A,,,N,,,,,,,No,No,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181306,Panama Second Climate Resilience and Green Growth DPL,1,LCR,Panama,GGSVP,LCRVP,SLCDR,"Environment, Natural Resources & the Blue Economy",Energy & Extractives,"Cadman, Cary Anne",Philippe Dardel (ADM);David Vilar Ferrenbach,LCC2C,SLCE1,2024,Q3,A,BOA,Board Approved,Regional Operations,,PE,DPF,N/A,N/A,N,N,N,N,,P179817,,N/A,,,,M,,Bank Approved,$350.00M,$350.00M,$0.00M,$0.00M,$0.00M,23-May-2023,08-Nov-2023,A,24-Nov-2023,,,30-Jan-2024,A,07-Feb-2024,07-Feb-2024,,,08-Feb-2024,A,27-Feb-2024,A,22-Mar-2024,A,,,N,,,,,,,No,No,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P180849,Türkiye Earthquake Recovery and Reconstruction Project,1,ECA,Turkiye,GGIVP,ECAVP,IECDR,"Urban, Resilience and Land","Health, Nutrition & Population Water","Pusch, Christoph",Alanna Simpson (ADM);Sema Sumer;Salih Erdurmus;Yondela Silimela,ECCTR,IECUR,2023,Q4,C,BOA,Draft,Decision Meeting,Y,PE,IPF,N/A,2,N,N,N,N,Financing not related to a Response Type,,,ESF,Substantial,Substantial,Substantial,M,,Bank Approved,"$1,000.00M","$1,000.00M",$0.00M,$0.00M,$0.00M,15-Feb-2023,,,,,24-Apr-2023,04-May-2023,A,09-May-2023,11-May-2023,09-May-2023,A,18-May-2023,A,12-Jun-2023,A,27-Jun-2023,A,,,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P180732,Ukraine Agriculture Recovery Inclusive Support Emergency (ARISE) Project,1,ECA,Ukraine,GGSVP,ECAVP,SCADR,Agriculture and Food,"Environment, Natural Resources & the Blue Economy Finance, Competitiveness and Innovation Social Sustainability and Inclusion","Kray, Holger A.",Irina Schuman (ADM);Johanna Jaeger,ECCEE,SCAAG,2024,Q2,A,BOA,Board Approved,Regional Operations,,PE,IPF,N/A,2,N,N,Y,N,,,,ESF,Substantial,Substantial,Substantial,H,,Bank Approved,$230.00M,$230.00M,$0.00M,$0.00M,$320.00M,26-Jan-2023,,,,,,25-Jul-2023,A,29-Jul-2023,30-Oct-2023,01-Aug-2023,A,04-Aug-2023,A,17-Oct-2023,A,30-Oct-2023,A,,,N,,Yes,,,Yes,Yes,Yes,,Yes,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181514,Sixth Additional Financing for Public Expenditures for Administrative Capacity Endurance (PEACE) in Ukraine,1,ECA,Ukraine,GGEVP,ECAVP,EECDR,Governance,,"Fozzard, Adrian",Oleksii Balabushko (ADM);Karlis Smits;Ana Bellver Vazquez-Dodero,ECCEE,EECG1,2024,Q2,A,BOA,Board Approved,Regional Operations,,PE,IPF,N/A,N/A,N,Y,,N,,P178946,,ESF,,,,,,Bank Approved,"$1,086.00M","$1,086.00M",$0.00M,$0.00M,$260.00M,26-Oct-2023,,,,,,07-Nov-2023,A,13-Nov-2023,14-Dec-2023,10-Nov-2023,A,10-Nov-2023,A,29-Nov-2023,A,14-Dec-2023,A,,,N,,Yes,,,Yes,Yes,No,,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181422,Road Upgrading and Development Project,0,ECA,North Macedonia,GGIVP,ECAVP,IECDR,Transport,,"Mehndiratta, Shomik Raj",Nadia Badea (ADM),ECCWB,IECTR,2024,Q3,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P149955,A,Safeguards,,,,,,Bank Approved,$33.80M,$33.80M,$0.00M,$0.00M,$15.00M,09-Aug-2023,,,,,,22-Nov-2023,A,04-Dec-2023,18-Jan-2024,04-Dec-2023,A,05-Dec-2023,A,19-Dec-2023,A,18-Jan-2024,A,,,N,,,,,,,No,,No,No,,No,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181141,Fifth Additional Financing for Public Expenditures for Administrative Capacity Endurance (PEACE) in UKRAINE,1,ECA,Ukraine,GGEVP,ECAVP,EECDR,Governance,,"Fozzard, Adrian",Oleksii Balabushko (ADM);Karlis Smits;Ana Bellver Vazquez-Dodero,ECCEE,EECG1,2023,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P178946,,ESF,,,,,,Bank Approved,$500.00M,$500.00M,$0.00M,$0.00M,"$1,265.00M",21-Apr-2023,,,,,,04-May-2023,A,06-May-2023,16-Jun-2023,05-May-2023,A,09-May-2023,A,02-Jun-2023,A,16-Jun-2023,A,,,N,,Yes,,,Yes,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181491,Additional Financing for Cameroon Transport Sector Development Project,0,AFW,Cameroon,GGIVP,AFWVP,IAWDR,Transport,,"Souhaid, Anne Cecile Sophie",Papa Ndiaye (ADM);Francis Ovanda Mbele,AWCC1,IAWT3,2024,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P150999,B,Safeguards,,,,,,Bank Approved,$50.00M,$0.00M,$50.00M,$0.00M,$0.00M,03-Feb-2024,,,,,,14-Mar-2024,A,22-May-2024,14-Jun-2024,03-Apr-2024,A,18-Apr-2024,A,23-May-2024,A,14-Jun-2024,A,,,N,,,,,Yes,,No,,No,No,,No,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181324,Strengthening Honduras' National Civil Registry and Identification Ecosystem Project,1,LCR,Honduras,GGDVP,LCRVP,DLCDR,Digital Development,,"Martinez Mancilla, Yolanda",Josef Trommer (ADM);Diana Parra Silva,LCC2C,DLCDD,2024,Q2,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Moderate,Moderate,Moderate,S,,Bank Approved,$40.00M,$0.00M,$40.00M,$0.00M,$0.00M,26-Jun-2023,16-Aug-2023,A,01-Sep-2023,01-Sep-2023,,12-Oct-2023,A,19-Oct-2023,18-Dec-2023,20-Oct-2023,A,01-Nov-2023,A,24-Nov-2023,A,18-Dec-2023,A,,,N,,,,,,,No,,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P180498,Liberia Electricity Sector Strengthening and Access Project (LESSAP) Phase 2,1,AFW,Liberia,GGIVP,AFWVP,IAWDR,Energy & Extractives,,"Balabanyan, Ani",Mohammad Saqib (ADM);Omar Sherif,AWCW1,IAWE4,2024,Q4,A,RVP,Draft,,,PE,IPF,N/A,2,Y,N,N,N,,,,ESF,Moderate,Moderate,Moderate,M,,Bank Approved,$45.00M,$0.00M,$45.00M,$0.00M,$5.00M,11-Apr-2024,06-May-2024,A,14-May-2024,14-May-2024,,22-May-2024,A,28-May-2024,24-Jun-2024,27-May-2024,A,04-Jun-2024,A,24-Jun-2024,A,24-Jun-2024,A,,,N,,,,,,,No,,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P180504,Tanzania Second Inclusive and Resilient Growth Development Policy Financing,1,AFE,Tanzania,GGEVP,AFEVP,EAEDR,"Macroeconomics, Trade and Investment",,"Prasad, Abha",Albert Pijuan Sala (ADM);Aghassi Mkrtchyan;Sashana Whyte,AECE1,EAEM1,2024,Q2,A,BOA,Board Approved,Regional Operations,,PE,DPF,N/A,N/A,N,N,N,N,,P178156,,N/A,,,,M,,Bank Approved,$750.00M,$0.00M,$750.00M,$0.00M,$0.00M,02-Mar-2023,24-Oct-2023,A,27-Oct-2023,20-Dec-2023,,08-Nov-2023,A,09-Nov-2023,20-Dec-2023,,,17-Nov-2023,A,20-Nov-2023,A,20-Dec-2023,A,,,N,,,,,,,No,No,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181533,Additional Financing for Regional Sahel Pastoralism Support Project II Burkina Faso,1,AFW,Western and Central Africa,GGSVP,AFWVP,SAWDR,Agriculture and Food,,"Toure, Elhadji Adama",Erick Abiassi (ADM);Soulemane Fofana;Benjamin Billard;Elisee Ouedraogo;Mohamed Hammady,AFWRI,SAWA4,2024,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P173197,,ESF,,,,,,Bank Approved,$50.00M,$0.00M,$50.00M,$0.00M,$0.00M,17-Jan-2024,,,,,,19-Apr-2024,A,02-May-2024,31-May-2024,02-May-2024,A,08-May-2024,A,17-May-2024,A,31-May-2024,A,,,N,,Yes,,,Yes,,No,,Yes,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181421,Sustainable Rural Water Supply and Sanitation Development Project - Second Additional Financing,0,ECA,Kyrgyz Republic,GGSVP,ECAVP,SCADR,Water,,"Yu, Winston",Verena Schaidreiter (ADM);Odete Muximpua,ECCCA,SCAWA,2024,Q3,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P154778,B,Safeguards,,,,,,Bank Approved,$7.64M,$0.00M,$7.64M,$0.00M,$0.00M,30-Aug-2023,,,,,,11-Oct-2023,A,17-Oct-2023,31-Jan-2024,18-Oct-2023,A,23-Oct-2023,A,04-Jan-2024,A,31-Jan-2024,A,,,N,,,,,,,No,,No,No,,No,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P180085 (AF 1),Harmonizing and Improving Statistics in West and Central Africa - Series of Projects Two (HISWACA - SOP 2),1,AFW,Western and Central Africa,GGEVP,AFWVP,EAWDR,Poverty and Equity,,"Mistiaen, Johan A.",,AFWRI,EAWPV,2024,Q3,A,BOA,Board Approved,Regional Operations,,PE,IPF,N/A,N/A,N,Y,N,N,,P180085,,ESF,,,,S,,Bank Approved,$150.00M,$90.00M,$60.00M,$0.00M,$0.00M,17-Jan-2024,,,,,,13-Feb-2024,A,27-Feb-2024,15-Feb-2024,23-Feb-2024,A,26-Feb-2024,R,22-Mar-2024,A,22-Mar-2024,A,,,N,,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181650,Second Additional Financing to the Integrated Urban Development and Resilience Project for Greater Antananarivo,0,AFE,Madagascar,GGIVP,AFEVP,IAEDR,"Urban, Resilience and Land",Water,"Marulanda, Catalina",Gael Raserijaona (ADM);Pierre Boulenger,AECS2,IAEU2,2024,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P159756,A,Safeguards,,,,,,Bank Approved,$15.00M,$0.00M,$15.00M,$0.00M,$0.00M,13-Feb-2024,,,,,,08-Apr-2024,A,02-May-2024,07-Jun-2024,29-Apr-2024,A,02-May-2024,A,16-May-2024,A,07-Jun-2024,A,,,N,,,,,,Yes,No,,Yes,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181032,First Low-Carbon Energy Programmatic Development Policy Loan,1,SAR,India,GGIVP,SARVP,ISADR,Energy & Extractives,"Macroeconomics, Trade and Investment","Stolp, Simon J.",Xiaodong Wang (ADM);Surbhi Goyal;Dhruv Sharma,SACIN,ISAE1,2023,Q4,A,BOA,Board Approved,Bank-wide Operations,Y,PE,DPF,N/A,N/A,N,N,N,N,,,,N/A,,,,S,,Bank Approved,"$1,500.00M","$1,443.43M",$56.57M,$0.00M,$0.00M,23-Mar-2023,06-Apr-2023,A,18-Apr-2023,29-Jun-2023,,15-May-2023,A,27-Jun-2023,27-Jun-2023,,,23-May-2023,A,02-Jun-2023,A,29-Jun-2023,A,,,N,,,,,,,No,No,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181011,"Zambia Second Macroeconomic Stability, Growth and Competitiveness DPF",1,AFE,Zambia,GGEVP,AFEVP,EAEDR,"Macroeconomics, Trade and Investment","Agriculture and Food Energy & Extractives Finance, Competitiveness and Innovation Governance","Prasad, Abha",Albert Pijuan Sala (ADM);Philip M. Schuler,AECE1,EAEM1,2024,Q2,A,BOA,Board Approved,Regional Operations,,PE,DPF,N/A,N/A,N,N,N,N,,P174911,,N/A,,,,S,,Bank Approved,$125.00M,$0.00M,$125.00M,$0.00M,$0.00M,16-Mar-2023,21-Aug-2023,A,23-Aug-2023,22-Dec-2023,,09-Nov-2023,A,16-Dec-2023,16-Dec-2023,,,21-Nov-2023,A,29-Nov-2023,A,21-Dec-2023,A,,,N,,,,,,,No,No,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181648,West Africa Coastal Areas Resilience Investment Project AF CI,0,AFW,Western and Central Africa,GGSVP,AFWVP,SAWDR,"Environment, Natural Resources & the Blue Economy",Social Sustainability and Inclusion,"Baroudy, Ellysar",Nicolas Desramaut (ADM);Peter Kristensen;Koffi Hounkpe;Joao Moura Estevao MarquesdaFonseca;Manuela Ravina da Silva,AFWRI,SAWE1,2024,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P162337,A,Safeguards,,,,,,Bank Approved,$7.00M,$0.00M,$7.00M,$0.00M,$0.00M,05-Feb-2024,,,,,,21-Feb-2024,A,27-Mar-2024,17-May-2024,11-Mar-2024,A,28-Mar-2024,A,26-Apr-2024,A,17-May-2024,A,,,N,,,,,,,No,,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
